Plant ID,Common Name,Scientific Name,Medicinal Uses,Plant Family,Region,Parts Used,Preparation Methods,Chemical Constituents,Precautions/Side effects,Image URL
1,Tulsi,Ocinum Sanctum,"Boosts immunity ,reduce stress,treats cough",Lamiaceae,Pan-India,Leaves,"Tea,juice,paste","Eugenol,Ursolic acid",May cause irritation for sensative individuals,https://cdn.britannica.com/87/207887-050-F48CB55D/basil.jpg
2,Neem,Azadirachta indica,"Antibacterial,antifungal,skin disorders",Meliaceae,Pan-India,Leaves and Bark,"Powder,oil,paste","Azadirachtin,Nimbin",Avoid in pregnancy,https://resize.indiatv.in/resize/newbucket/1200_-/2023/04/collage-maker-04-apr-2023-10-46-pm-5655-1680628624.jpg
3,Ashwagandha(Withania),Withania somnifera,"Reduces sterss,improves energy,enhance vitality",Solanaceae,Indian suncontinent,Root,"powder,capsules","Withanolides,Alkalois",May cause drowsiness in high doses,https://media.istockphoto.com/id/1347520867/photo/fresh-fruits-of-withania-somnifera-or-ashwgandha-medicinal-plant-withania-somnifera-plant.jpg?s=612x612&w=0&k=20&c=01_pXhEPKXfodcSw8Y8S-8idNnWB7LNZWsuaK84p4v4=
4,AloeVera,Aloe barbadensis,"Heals wounds,relieves skin inflammation",Asphodelaceae,Pan-India,Leaves,"gel,cream","Aloin,Anthaquinones",May cause diarrhea if consumed  in excess,https://www.epicgardening.com/wp-content/uploads/2023/09/Aloe-Vera.jpg
5,Ginger,Zingiber officinale,"Improves digestion,anti-inflammatory,terats nausea",Zingiberaceae,Tropical India,Rhizomes,"Tea,Tincture","Gingerol,Shogaol",May cause hertburn in some individuals,https://cdn.britannica.com/19/231119-050-35483892/Indian-ginger-Zingiber-officinale.jpg
6,Guduchi,Tinospora cordifolia,"Boosts immunity ,reduce fever,improve lever function",Menispermaceae,Indian suncontinent,Stem,"Powder,capsules,juice","Tinosporine,Berberine",Avoid in autoimmune conditions,https://upload.wikimedia.org/wikipedia/commons/0/0e/Tinospora_cordifolia.jpg
7,Brahmi,Bacopa monnieri,"improves memory,reduces anxiety,enhance cognition",Scrophulariaceae,Wetlands of India,Leaves,"Tea,capsules,paste","Bacosides,Alkaloids",May cause gastrointestinal discomfort,"https://m.media-amazon.com/images/I/51EEdmKZesL._AC_UF1000,1000_QL80_.jpg"
8,Kesar(Saffron),Crocus sativus,"Antidepressant,antioxidant,improves mood ",Iridaceae,Himalaya region and Kashmir,Stigma,"Tea,Milk,infusion","Crocin,Picrocrocin",Can cause allergic reaction some individuals,https://timesofagriculture.in/wp-content/uploads/2023/12/jpeg-optimizer_Slide1-1.jpg
9,Indian Snake Root,Sarpagandha(Rauwolfia serpentina),"Treats hypertension,sedative,anti-psychotic",Apocynaceae,Himalaya region,Roots,"Powder,tablets","Reserpine,Ajumaline",May cause low blood pressure,https://www.jiomart.com//images/product/240x240/rvvcixaory/odiplantz-indian-snakeroot-live-plant-product-images-orvvcixaory-p598502594-0-202302180803.jpg
10,Triphala,"(combination of  Terminaliachebula,Terminalia bellerica & Phyllanthus emblica)","Improve digestion,detoxifies,strengthens immunity",Combretaceae,Pan-India,Fruit,"Powder,capsules","Tannins,Vitamin C",Avoid in diarrhea,https://www.gaiaherbs.com/cdn/shop/files/amla-fuit-phyllanthus-emblica-alternate_402605eb-30cb-45e0-96da-94a53a2ea140.jpg?v=1727307610
11,Baheda,Terminalia bellrica,"Treats respiratory diseases,improve digestion",Combretaceae,Pan-India,Fruit,"Powder,capsules","Ellagic acid ,Tannins",May cause laxative ffect in high doses,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrwEE0FFkEwZms66I0NWJGcm3FsIkA-Da_Rw&s
12,Amla,Phyllanthus emblica,"High in Vitamin C,boosts imunity,improves digestion",Phyllanthaceae,Pan-India,Fruit,"Juice,powder","Vitamin C,Flavonoids",May cause gastritis in sensitive individuals,https://plantsguru.com/cdn/shop/files/plantsguru-fruitplants-amla-small.jpg?v=1735618395
13,tamarind,Tamarindus indica,"Laxative,digestive aid,treas acidity",Fabaceae,Pan-India,Fruit,"Juice,paste","Citric acid,Tartaric acid",Excessive intake may cause dirrhea,"https://m.media-amazon.com/images/I/51VXQdzLaZL._AC_UF1000,1000_QL80_.jpg"
14,Nirgundi,Vitex negundo,"Anti-inflammatory,treats joint pain,reduces fever",Verbenaceae,Pan-India,"Leaves,seeds","Oil,paste","Vitexin,Lignans",Avid during pregnancy,https://5.imimg.com/data5/SELLER/Default/2022/9/HM/XH/MG/131665697/nirgundi-plant-chinese-chastetree-plant-vitex-negundo-plant-five-leaved-chaste-tree.jpg
15,Haritaki,Terminalia chebula,"Detoxifies,aids digestion,improves skin health",Combretaceae,Pan-India,Fruit,"powder,capsules","Tannins,Vitamin C",Avoid in diarrhea,"https://m.media-amazon.com/images/I/51uRhb4PSpL._AC_UF1000,1000_QL80_.jpg"
16,Turmeric,Curcuma longa,"Anti-inflammatory,antioxidant,heals wounds ",Zingiberaceae,Pan-India,Rhizomes,"Powder,paste,milk","Curcumin,Curcuminoids",May cause stomach upset in high doses,https://i.ytimg.com/vi/IbYO8FYAZOQ/hqdefault.jpg
17,Bala,Sida cordifolia,"Boosts strength,relieves pain,treats asthma",Malvaceae,"India, Shrilanka ",Roots,"Powder,Decoction","Ephedrine,Alkaloids",May raise blood pressure,"https://m.media-amazon.com/images/I/517-Y+v2dUL._AC_UF1000,1000_QL80_.jpg"
18,Shatavari,Asparagus racemosus,"Improves fertility,strengthens immunity",Asparagaceae,Cenral &southern India,Roots,"Powder,Capsules","Asparagoside,Saponins",May cause drowsiness in high doses,https://thaifoodmaster.com/wp-content/uploads/2022/01/Asparagus_racemosus_1-1024x536.jpg
19,Vanda,Vanda tessellata,"Treats cough,asthma,relieves mental stress",Orchidacee,Pan-India,"Root,Leaves","Decoction,juice","Alkaloids,Flavonoids",None known,"https://m.media-amazon.com/images/I/61RGifSwXuL._AC_UF1000,1000_QL80_.jpg"
20,Sandalwood,Santalum album,"Soothes skin,relieves mental stress,anti-inflammatory",Santalaceae,Southern India,Wood,"Oil,paste","Santalol,Santalene",none known,https://greenparadiselive.com/cdn/shop/files/red_sandalwoodpan_3.png?v=1729404927&width=1920
21,Sweet Flag,Acorus calamus,"Improve digestion,relieves cough,anti-spasmodic",Acoraceae,Wetlands of India,Rhizomes,"Powder,Decoction","Acorone,Beta-asarone",Can cause nausea in high doses,https://www.herbalplantslive.com/wp-content/uploads/2019/12/vasambu.1-e1589210439221.jpeg
22,Patharchur,Bryophyllum pinnatum,"Treats kidney stones,improve liver function",Crassulaceae,Pan-India,Leaves,"Juice,Decoction","Triterpenoids,Flavonoids",None known,https://trustherb.com/wp-content/uploads/2020/11/5-Amazing-Health-Benefits-of-Patharchatta..jpg
23,Flame of the forest,Butea monosperma,"Anti-inflammatory,treats wounds,skin disorders",Fabaceae,Central India,"Flowers,Leaves","Powder,oil","Butrin,Alkaloids",May cause allergic in sensitive individuals,https://5.imimg.com/data5/SELLER/Default/2024/5/422406013/II/AV/VY/195984132/flower-flame-of-the-forest.jpeg
24,Hibiscus,Hibiscus rosa-sinensis,"Treats hair loss,improves skin health,anti-inflammatory",Malvaceae,Pan-India,"Flowers,Leaves","Juice,Oil,Paste","Anthocyanins,Flavonoids",None known,https://hgtvhome.sndimg.com/content/dam/images/hgtv/fullset/2018/5/23/0/shutterstock_211989697_topimages_chinese-hibiscus.jpg.rend.hgtvcom.1280.960.85.suffix/1527091860274.webp
25,Moringa,Moringa oleifera,"Rich in nutrients,reduces cholestrol,anti-inflammatory",Moringaceae,Pan-India,"Leaves,seeds","Powder,juice","Moringin,Moringa oil",None known,https://wildroots.in/wp-content/uploads/2023/06/moringa1.jpg
26,Long Pepper,Piper longum,"Teats respiratory issues,digestive aid improves circulation ",Piperaceae,Pan-India,"Fruit,root","powder,capsules","Piperine,Piperlongumine",May irritate stomach in high doses,https://cdn.dotpe.in/longtail/store-items/8004307/q4dpih7q.jpeg
27,Cinnamon,Cinnamomum verum,"Improves digestion,anti-inflammatory,terats diabetes",Lauraceae,Pan-India,"Bark,Leaf","Powder,Tea","Cinnamaldehyde,Coumarin",May interact with blood-thinning medications,"https://m.media-amazon.com/images/I/71m-tf5U2LL._AC_UF1000,1000_QL80_.jpg"
